WKT,naam,Tijdstip,Type
"POINT (3.9776124 51.1159436)",104,1646100900000000,Vangst
"POINT (3.9781186 51.1174741)",100,1646177460000000,Vangst
"POINT (3.9781608 51.1174765)",101,1646265480000000,Vangst
"POINT (3.9777143 51.1158687)",101,1647228960000000,Hervangst
"POINT (3.9788924 51.122247)",102,1648430520000000,Vangst
"POINT (3.9790417 51.1172787)",202,1676505180000000,Vangst
"POINT (3.9790698 51.1172804)",203,1676517660000000,
"POINT (3.9790806 51.1172652)",201,1676840400000000,
"POINT (3.9790336 51.1172635)",204,1676948280000000,Vangst
"POINT (3.9790486 51.1172449)",BE1132,1676598720000000,Vangst

